id,do processing,gps location-alt,gps location-lat,gps location-lng,gps location in 2D-alt, gps location in 2D-lat,gps location in 2D-lng
0,1,10.000000,45.528013,-73.586005,0.000000,3.669433,1.000754
1,1,10.000000,45.529013,-73.586005,0.000000,3.780628,1.000754
2,1,10.000000,45.530013,-73.586005,0.000000,3.891822,1.000754
3,1,10.000000,45.534013,-73.586005,0.000000,4.336602,1.000754
4,1,10.000000,45.531013,-73.586005,0.000000,4.003017,1.000754
5,0,10.000000,45.533013,-73.586005,0.000000,4.225407,1.000754
6,1,10.000000,45.532013,-73.586005,0.000000,4.114212,1.000754
7,1,10.000000,45.526013,-73.586005,0.000000,3.447043,1.000754
8,1,10.000000,45.525013,-73.586005,0.000000,3.335848,1.000754
9,1,10.000000,45.527013,-73.586005,0.000000,3.558238,1.000754
